variant,class_name,count,mean_confidence,max_confidence,total_box_area
inpainted,__ALL__,2,0.5843925774097443,0.5906313061714172,9979.875999301672
masked,__ALL__,2,0.6090894043445587,0.6363637447357178,10417.666146934032
original,__ALL__,2,0.5793854296207428,0.5858169198036194,10157.116708606482
inpainted,car,1,0.5781538486480713,0.5781538486480713,2711.817562133074
inpainted,person,1,0.5906313061714172,0.5906313061714172,7268.058437168598
masked,car,1,0.5818150639533997,0.5818150639533997,2885.134666442871
masked,person,1,0.6363637447357178,0.6363637447357178,7532.531480491161
original,car,1,0.5729539394378662,0.5729539394378662,2729.229943871498
original,person,1,0.5858169198036194,0.5858169198036194,7427.886764734983
